date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:38:57	927569/927569	---MCZ	200	added ('OK')	application/javascript	etag:W/%225600ee5e307306c9072ebe9985904e1c%22	https://cdn.toshikura.com/v1/asset/js/script.min.1.2.2.js?5fc4c05c008df	/storage/emulated/0/HTTrack/Websites/vr2/cdn.toshikura.com/v1/asset/js/script.min.1.2.23b65.js	(from https://v1.kentatoshikura.com/project/)
12:38:57	6904/6904	---M--	200	added ('OK')	text/html	etag:%2277635c6af1689c10cfa3dcb628ffe6ab%22	https://v1.kentatoshikura.com/project/the-shift/	/storage/emulated/0/HTTrack/Websites/vr2/v1.kentatoshikura.com/project/the-shift/index.html	(from https://v1.kentatoshikura.com/)
12:38:57	6922/6922	---M--	200	added ('OK')	text/html	etag:%22d4f7f953894f329e15661225ad55c046%22	https://v1.kentatoshikura.com/project/garden-eight/	/storage/emulated/0/HTTrack/Websites/vr2/v1.kentatoshikura.com/project/garden-eight/index.html	(from https://v1.kentatoshikura.com/)
12:38:58	29734/29734	---MCZ	200	added ('OK')	text/css	etag:W/%22ad3453c7aa9fbb445c57d068b5ff04c9%22	https://cdn.toshikura.com/v1/asset/css/style.min.1.1.7.css?5fc4c045d43cd	/storage/emulated/0/HTTrack/Websites/vr2/cdn.toshikura.com/v1/asset/css/style.min.1.1.7ace8.css	(from https://v1.kentatoshikura.com/project/the-shift/)
12:38:59	927569/927569	---MCZ	200	added ('OK')	application/javascript	etag:W/%225600ee5e307306c9072ebe9985904e1c%22	https://cdn.toshikura.com/v1/asset/js/script.min.1.2.2.js?5fc4c045d49f4	/storage/emulated/0/HTTrack/Websites/vr2/cdn.toshikura.com/v1/asset/js/script.min.1.2.284c6.js	(from https://v1.kentatoshikura.com/project/the-shift/)
12:39:01	29734/29734	---MCZ	200	added ('OK')	text/css	etag:W/%22ad3453c7aa9fbb445c57d068b5ff04c9%22	https://cdn.toshikura.com/v1/asset/css/style.min.1.1.7.css?5fc4c045272ea	/storage/emulated/0/HTTrack/Websites/vr2/cdn.toshikura.com/v1/asset/css/style.min.1.1.78c93.css	(from https://v1.kentatoshikura.com/project/garden-eight/)
12:39:01	927569/927569	---MCZ	200	added ('OK')	application/javascript	etag:W/%225600ee5e307306c9072ebe9985904e1c%22	https://cdn.toshikura.com/v1/asset/js/script.min.1.2.2.js?5fc4c045277d3	/storage/emulated/0/HTTrack/Websites/vr2/cdn.toshikura.com/v1/asset/js/script.min.1.2.21cd1.js	(from https://v1.kentatoshikura.com/project/garden-eight/)
12:39:03	29734/29734	---MCZ	200	added ('OK')	text/css	etag:W/%22ad3453c7aa9fbb445c57d068b5ff04c9%22	https://cdn.toshikura.com/v1/asset/css/style.min.1.1.7.css?5fc4c04692ef1	/storage/emulated/0/HTTrack/Websites/vr2/cdn.toshikura.com/v1/asset/css/style.min.1.1.7735e.css	(from https://v1.kentatoshikura.com/project/akan-ko/)
12:39:03	927569/927569	---MCZ	200	added ('OK')	application/javascript	etag:W/%225600ee5e307306c9072ebe9985904e1c%22	https://cdn.toshikura.com/v1/asset/js/script.min.1.2.2.js?5fc4c04693360	/storage/emulated/0/HTTrack/Websites/vr2/cdn.toshikura.com/v1/asset/js/script.min.1.2.2a59c.js	(from https://v1.kentatoshikura.com/project/akan-ko/)
12:39:04	29734/29734	---MCZ	200	added ('OK')	text/css	etag:W/%22ad3453c7aa9fbb445c57d068b5ff04c9%22	https://cdn.toshikura.com/v1/asset/css/style.min.1.1.7.css?5fc4c0463a3ae	/storage/emulated/0/HTTrack/Websites/vr2/cdn.toshikura.com/v1/asset/css/style.min.1.1.732bf.css	(from https://v1.kentatoshikura.com/project/fuji/)
12:39:05	927569/927569	---MCZ	200	added ('OK')	application/javascript	etag:W/%225600ee5e307306c9072ebe9985904e1c%22	https://cdn.toshikura.com/v1/asset/js/script.min.1.2.2.js?5fc4c0463a8a6	/storage/emulated/0/HTTrack/Websites/vr2/cdn.toshikura.com/v1/asset/js/script.min.1.2.2f52f.js	(from https://v1.kentatoshikura.com/project/fuji/)
12:39:07	29734/29734	---MCZ	200	added ('OK')	text/css	etag:W/%22ad3453c7aa9fbb445c57d068b5ff04c9%22	https://cdn.toshikura.com/v1/asset/css/style.min.1.1.7.css?5fc4c04582aa6	/storage/emulated/0/HTTrack/Websites/vr2/cdn.toshikura.com/v1/asset/css/style.min.1.1.722fd.css	(from https://v1.kentatoshikura.com/project/haneda/)
12:39:07	927569/927569	---MCZ	200	added ('OK')	application/javascript	etag:W/%225600ee5e307306c9072ebe9985904e1c%22	https://cdn.toshikura.com/v1/asset/js/script.min.1.2.2.js?5fc4c04583070	/storage/emulated/0/HTTrack/Websites/vr2/cdn.toshikura.com/v1/asset/js/script.min.1.2.26f3e.js	(from https://v1.kentatoshikura.com/project/haneda/)
12:39:09	29734/29734	---MCZ	200	added ('OK')	text/css	etag:W/%22ad3453c7aa9fbb445c57d068b5ff04c9%22	https://cdn.toshikura.com/v1/asset/css/style.min.1.1.7.css?5fc4c047a2dc1	/storage/emulated/0/HTTrack/Websites/vr2/cdn.toshikura.com/v1/asset/css/style.min.1.1.72757.css	(from https://v1.kentatoshikura.com/project/fil/)
12:39:10	927569/927569	---MCZ	200	added ('OK')	application/javascript	etag:W/%225600ee5e307306c9072ebe9985904e1c%22	https://cdn.toshikura.com/v1/asset/js/script.min.1.2.2.js?5fc4c047a31c3	/storage/emulated/0/HTTrack/Websites/vr2/cdn.toshikura.com/v1/asset/js/script.min.1.2.2bcb8.js	(from https://v1.kentatoshikura.com/project/fil/)
12:39:13	29734/29734	---MCZ	200	added ('OK')	text/css	etag:W/%22ad3453c7aa9fbb445c57d068b5ff04c9%22	https://cdn.toshikura.com/v1/asset/css/style.min.1.1.7.css?5fc4c04753df4	/storage/emulated/0/HTTrack/Websites/vr2/cdn.toshikura.com/v1/asset/css/style.min.1.1.7d12a.css	(from https://v1.kentatoshikura.com/project/tokyo/)
12:39:13	927569/927569	---MCZ	200	added ('OK')	application/javascript	etag:W/%225600ee5e307306c9072ebe9985904e1c%22	https://cdn.toshikura.com/v1/asset/js/script.min.1.2.2.js?5fc4c0475439b	/storage/emulated/0/HTTrack/Websites/vr2/cdn.toshikura.com/v1/asset/js/script.min.1.2.2b08e.js	(from https://v1.kentatoshikura.com/project/tokyo/)
